Card Name, Highest , Average , Average ,,Count,Count,Total
Danger!? Jackalope?,$9.45,$36.61,$10.32, x ,1,1,$9.45
Mekk-Knight of the Morning Star,$3.99,$25.54,$5.22, x ,1,1,$3.99
Dragunity Legion (card),$0.83,$5.46,$1.04, x ,4,4,$3.32
Wee Witch's Apprentice,$1.46,$20.97,$2.14, x ,2,2,$2.92
Crusadia Arboria,$0.33,$5.52,$0.78, x ,6,6,$1.98
Crusadia Reclusia,$0.33,$5.52,$0.78, x ,6,6,$1.98
Impcantation Candoll,$0.99,$6.99,$1.45, x ,2,2,$1.98
Miniborrel Dragon,$0.33,$5.52,$0.77, x ,6,6,$1.98
Crusadia Draco,$0.33,$5.52,$0.80, x ,5,5,$1.65
Crusadia Leonis,$0.33,$5.52,$0.76, x ,5,5,$1.65
Dragunity Couse,$0.33,$5.52,$0.79, x ,5,5,$1.65
Gouki Heel Ogre,$0.33,$5.52,$0.78, x ,5,5,$1.65
Gouki Moonsault,$0.33,$5.46,$0.75, x ,5,5,$1.65
Gouki Tagpartner,$0.33,$5.52,$0.74, x ,5,5,$1.65
Metaphys Decoy Dragon,$0.33,$5.52,$0.77, x ,5,5,$1.65
Restoration Point Guard,$0.33,$5.52,$0.76, x ,5,5,$1.65
World Legacy's Mind Meld,$0.33,$5.52,$0.75, x ,5,5,$1.65
Noble Arms - Clarent,$0.79,$1.10,$1.09, x ,2,2,$1.58
Sacred Noble Knight of King Custennin,$1.39,$23.14,$1.76, x ,1,1,$1.39
Borrel Regenerator,$0.33,$5.52,$0.75, x ,4,4,$1.32
Crusadia Power,$0.33,$5.52,$0.72, x ,4,4,$1.32
Cycle of the World,$0.33,$5.52,$0.65, x ,4,4,$1.32
Divine Serpent Geh,$0.33,$5.52,$0.79, x ,4,4,$1.32
Gouki Ringtrainer,$0.33,$5.52,$0.74, x ,4,4,$1.32
Link Devotee,$0.33,$5.52,$0.76, x ,4,4,$1.32
Performapal Handsamuraiger,$0.33,$5.52,$0.73, x ,4,4,$1.32
Psychic Ace,$0.33,$5.42,$0.76, x ,4,4,$1.32
"Ruin, Supreme Queen of Oblivion",$0.33,$6.99,$0.77, x ,4,4,$1.32
Solitary Sword of Poison,$0.33,$5.41,$0.76, x ,4,4,$1.32
Terrifying Toddler of Torment,$0.33,$5.52,$0.77, x ,4,4,$1.32
Cyber Dragon Vier,$0.39,$5.52,$0.89, x ,3,3,$1.17
Sky Striker Ace - Hayate,$0.58,$20.97,$1.79, x ,2,2,$1.16
Ballista Squad,$0.33,$5.52,$0.78, x ,3,3,$0.99
Beast Magic Attack,$0.33,$5.52,$0.73, x ,3,3,$0.99
Crusadia Regulex,$0.33,$5.52,$0.78, x ,3,3,$0.99
Crusadia Vanguard,$0.33,$5.52,$0.74, x ,3,3,$0.99
"Demise, Agent of Armageddon",$0.33,$5.52,$0.76, x ,3,3,$0.99
Impcantation Talismandra,$0.99,$6.99,$1.42, x ,1,1,$0.99
Metaphys Ascension,$0.33,$5.52,$0.75, x ,3,3,$0.99
Mythical Institution,$0.33,$5.52,$0.68, x ,3,3,$0.99
Performapal Lebellman,$0.33,$5.46,$0.69, x ,3,3,$0.99
Shield Handler,$0.33,$5.52,$0.73, x ,3,3,$0.99
Turning of the World,$0.33,$5.52,$0.69, x ,3,3,$0.99
World Legacy's Memory,$0.33,$5.52,$0.62, x ,3,3,$0.99
Zero Extra Link,$0.33,$5.52,$0.75, x ,3,3,$0.99
"World Legacy - ""World Crown""",$0.39,$6.99,$1.16, x ,2,2,$0.78
Breaking of the World,$0.33,$5.48,$0.72, x ,2,2,$0.66
Cluster Congester,$0.33,$5.52,$0.75, x ,2,2,$0.66
Contact Gate,$0.33,$5.52,$0.75, x ,2,2,$0.66
Cosmo Brain,$0.33,$5.52,$0.87, x ,2,2,$0.66
Cross Breed,$0.33,$7.10,$0.71, x ,2,2,$0.66
Crusadia Magius,$0.33,$5.88,$1.18, x ,2,2,$0.66
Crusadia Maximus,$0.33,$23.14,$1.19, x ,2,2,$0.66
Cybernetic Overflow,$0.33,$5.52,$0.91, x ,2,2,$0.66
Cyberse Witch,$0.33,$7.10,$0.85, x ,2,2,$0.66
Dealer's Choice,$0.33,$6.17,$0.75, x ,2,2,$0.66
Link Turret,$0.33,$5.52,$0.75, x ,2,2,$0.66
Realm of Danger!,$0.66,$21.70,$1.23, x ,1,1,$0.66
Universal Adapter,$0.33,$5.52,$0.73, x ,2,2,$0.66
Centerfrog,$0.33,$5.72,$0.73, x ,1,1,$0.33
Crusadia Revival,$0.33,$6.99,$1.06, x ,1,1,$0.33
Cupid Volley,$0.33,$5.72,$0.76, x ,1,1,$0.33
Cynet Ritual,$0.33,$6.99,$0.74, x ,1,1,$0.33
"Demise, Supreme King of Armageddon",$0.33,$6.99,$0.58, x ,1,1,$0.33
Dragunity Knight - Luin,$0.33,$6.99,$0.72, x ,1,1,$0.33
Dragunity Senatus,$0.33,$7.43,$0.96, x ,1,1,$0.33
Gladiator Beast Dragases,$0.33,$7.04,$0.75, x ,1,1,$0.33
Gouki The Giant Ogre,$0.33,$6.99,$0.78, x ,1,1,$0.33
Hip Hoshiningen,$0.33,$20.97,$1.63, x ,1,1,$0.33
Interrupt Resistor,$0.33,$7.04,$0.79, x ,1,1,$0.33
Link Disciple,$0.33,$6.99,$0.80, x ,1,1,$0.33
Mana Dragon Zirnitron,$0.33,$6.99,$1.00, x ,1,1,$0.33
Mirror Force Launcher,$0.33,$22.25,$1.06, x ,1,1,$0.33
Noble Knight Custennin,$0.33,$14.77,$1.12, x ,1,1,$0.33
Noble Knight Pellinore,$0.33,$6.99,$0.83, x ,1,1,$0.33
Performapal Gold Fang,$0.33,$7.03,$0.73, x ,1,1,$0.33
Renewal of the World,$0.33,$6.99,$0.83, x ,1,1,$0.33
Reprodocus,$0.33,$6.99,$0.75, x ,1,1,$0.33
"Ruin, Angel of Oblivion",$0.33,$6.99,$0.76, x ,1,1,$0.33
SIMM Tablir,$0.33,$6.99,$0.77, x ,1,1,$0.33
The Deep Grave,$0.33,$6.99,$0.78, x ,1,1,$0.33
Umbramirage the Elemental Lord,$0.33,$6.99,$0.74, x ,1,1,$0.33
Vorticular Drumgon,$0.33,$6.99,$0.93, x ,1,1,$0.33
White Stingray,$0.33,$5.72,$0.78, x ,1,1,$0.33
World Legacy Survivor,$0.33,$6.99,$0.98, x ,1,1,$0.33
Celestial Observatory,$3.99,$25.31,$5.50,,,, $-   
Cyber Dragon Herz,$7.00,$34.71,$7.90,,,, $-   
Cyber Dragon Sieger,$10.00,$32.13,$12.65,,,, $-   
Cyber Revsystem,$14.80,$54.24,$15.24,,,, $-   
Cyberse Magician,$2.95,$19.54,$3.12,,,, $-   
Danger! Bigfoot!,$37.56,$75.94,$44.54,,,, $-   
Danger! Chupacabra!,$3.99,$32.51,$6.21,,,, $-   
Danger! Nessie!,$34.99,$72.29,$38.93,,,, $-   
Danger! Zone,$0.99,$28.21,$2.37,,,, $-   
Dragunity Knight - Ascalon,$0.99,$21.70,$2.63,,,, $-   
Ledger of Legerdemain,$2.72,$44.84,$3.61,,,, $-   
Paladin of Storm Dragon,$0.33,$6.99,$0.75,,,, $-   
Pinpoint Landing,$3.89,$32.54,$5.13,,,, $-   
